Year,Month,Predicted_Sales
2026,1,6938.0
2026,2,7309.0
2026,3,7275.0
2026,4,7851.0
2026,5,8402.0
2026,6,8806.0
2026,7,8805.0
2026,8,8908.0
2026,9,8921.0
2026,10,9830.0
2026,11,10864.0
2026,12,11995.0
